Date,AAPL,CVX,GS,JNJ,JPM,KO,MSFT,PFE,WMT,XOM
2024-05-29,1.001578791233557,0.9865442870931079,0.9942585297066838,1.0004155414051497,0.9930325675529482,0.9980589642734855,0.9973276525330251,0.9830390226257655,0.9981548831068467,0.9892912347222325
2024-05-30,1.0068422927784864,0.9950954328262505,0.9850908857257558,1.0062333447872878,0.9991477795836646,1.002426458144071,0.9636317561520213,0.9964665175380953,0.9976936188208734,0.9924255213265973
2024-05-31,1.011895332030595,1.0204980665139274,0.9988531876646947,1.0158608183492348,1.0156891688385707,1.0179553325055275,0.9647007239519596,1.0127208291913716,1.0110699246185413,1.0208950548805158
2024-06-03,1.021264063425785,0.9900654638966255,0.9954837902926627,1.0232718846586815,1.0116291946046356,1.0179553325055275,0.9609592646193053,1.035689157550761,1.0119925726890076,0.9964304115740775
2024-06-04,1.022948490852505,0.9817029433046122,0.996183869959527,1.023687202353788,0.9982957187292868,1.0342930698445887,0.9668850487205125,1.0420495336821687,1.023985205127275,0.9809332553284574
2024-06-05,1.0309489743163094,0.9744719645564477,1.0101430887783553,1.0110124624390842,0.9887718643761654,1.0339695638901696,0.9853365566602276,1.0441696847021567,1.0315188698021205,0.9848511135839136
2024-06-06,1.0236326958275486,0.980445163693182,1.0023102421288297,1.0141291907602388,0.9870176402126769,1.0376901112462882,0.9865216414475984,1.0176678738808627,1.0324416373711065,0.9922514573425494
2024-06-07,1.036317707007649,0.981388184897365,0.9953305634800063,1.018700593636971,1.0022556476157134,1.033807909004517,0.9849646509492382,1.0098940124504254,1.0129151012609543,0.9816297949875247
2024-06-10,1.016474385572429,0.985538356008061,0.9923547921495253,1.0190467849287443,1.0005513663450003,1.028631617550698,0.9943065219065284,0.9918728826376403,1.0295202570604356,0.98450284375438
2024-06-11,1.0903203223135232,0.9839663404966997,0.9720506123464117,1.0164840745294488,0.9742355306823283,1.0279844748531175,1.005484294637203,0.9904593973386104,1.0259841763645192,0.9765801661821626
