Date,AAPL,CVX,GS,JNJ,JPM,KO,MSFT,PFE,WMT,XOM
2024-05-29,0.0015787912335569754,-0.01345571290689207,-0.005741470293316175,0.0004155414051496553,-0.00696743244705178,-0.001941035726514495,-0.002672347466974867,-0.01696097737423452,-0.0018451168931532536,-0.01070876527776754
2024-05-30,0.005255204673859648,0.008667776849976772,-0.009220583688261286,0.005815386848115667,0.006158118304000482,0.004375987819281502,-0.03378618480638984,0.013659167747445133,-0.00046211694575659656,0.003168214267303071
2024-05-31,0.005018699838446716,0.025527836677462057,0.013970591077796524,0.009567833954043925,0.016555498188465023,0.015491285405821564,0.0011093115114915175,0.016311949641253154,0.013407227975935854,0.028686821269834573
2024-06-03,0.00925859730609635,-0.02982132315180286,-0.003373265874947684,0.007295355993244712,-0.003997260538455505,0.0,-0.0038783627292485745,0.022679822214902945,0.0009125462522430183,-0.023963915967152527
2024-06-04,0.0016493554282814848,-0.008446431975417834,0.0007032557171609,0.0004058722821695948,-0.01318020075583115,0.016049562114723193,0.006166529965820011,0.006141201812374764,0.011850514284310831,-0.015552672886748775
2024-06-05,0.00782100324243773,-0.0073657502989891155,0.014012693077830596,-0.012381457817935537,-0.009540113389691962,-0.00031277977572419235,0.019083455643597036,0.0020345971582524935,0.007357200706731959,0.0039940110442522325
2024-06-06,-0.0070966446167840536,0.006129677768054842,-0.007754195159617061,0.003082779329579566,-0.0017741444985343024,0.0035983141922675266,0.0012027208159084424,-0.025380751049915218,0.0008945716806547654,0.007514175144408997
2024-06-07,0.01239215123921511,0.0009618296250559766,-0.006963591067371655,0.004507712546273579,0.015438434717086835,-0.0037411961429494323,-0.0015782628915017582,-0.0076388983380125675,-0.018912968446209155,-0.01070460746257973
2024-06-10,-0.019147913136133954,0.004228878210032594,-0.0029897316928324535,0.0003398361539550532,-0.0017004456645043353,-0.005007014754610739,0.009484473324283371,-0.01784457536198114,0.016393432952880094,0.002926814957661117
2024-06-11,0.07264908765950628,-0.0015950830343414157,-0.020460605384020947,-0.0025148113287799534,-0.026301333992280074,-0.0006291296967144699,0.01124177754485789,-0.0014250669856715747,-0.003434687828302474,-0.008047389220334211
2024-06-12,0.028578463594134407,-0.014505809056975849,0.009971380397392204,-0.009198445251363596,-0.01456052127131291,-0.010542838731101067,0.01936765255929873,-0.01320002128146247,-0.006294268128997027,-0.011054696422923005
2024-06-13,0.005491108893677765,-0.00894794072352989,-0.005237334990623843,0.00027499124548269194,0.01112097056468353,0.0017493848382403865,0.0011788572576325596,-0.0003615869653644799,0.005881355278609446,-0.008022983158712527
2024-06-14,-0.008168333973665787,-0.00176692546921553,0.0002464425528301284,0.0006185602036952176,0.0006196066422423652,0.000719903776648545,0.002242063068658595,-0.004339983197525155,0.004797780441010424,-0.008451544917563947
2024-06-17,0.019671450766506338,0.004063965047307994,0.008332185654240432,0.0028171420899092414,0.006192476083652476,0.0011190660925604057,0.01310514795470552,-0.01997811059998944,0.005968183680524541,-0.00687370258453035
2024-06-18,-0.010984577990056255,0.0009137207616407572,0.016104616035656605,-0.0020553573289893157,0.010360129919775973,0.00015964212489305574,-0.004527385678119278,0.0159376939388558,0.002669887439343821,0.009413075587377362
2024-06-20,-0.021512811192393344,0.02158735182664051,0.0013553942331405722,0.014624035194105378,0.008477250670666292,-0.007185054809293656,-0.0014338125301576188,0.01203929605645504,0.006065408454182464,0.021576114884117592
2024-06-21,-0.010444395868514422,-0.008682271249649043,-0.01718147461035935,0.006563778799244746,-0.01192925684630608,0.00948863278231138,0.009154079436523022,0.0,-0.0014706692396426746,-0.00877034752268746
2024-06-24,0.0031326392945953963,0.025953202014468824,0.026455996825471617,0.0024873145330281954,0.013142990672543764,0.019117411066325918,-0.004691065343013778,0.022350445370997507,0.014578082301839324,0.029703822385523937
2024-06-25,0.0044682906427588875,-0.005335564483401445,-0.010192786772798446,-0.012942556716755593,-0.00407287119812938,-0.0020322400424972464,0.007326612742128535,-0.01304650049686662,-0.021480446694204347,0.0028057320741243785
2024-06-26,0.019993163987805262,-0.015839785969588238,-0.003323265243711515,-0.0025136765509417014,-0.0032312344358578216,0.0032896117615921483,0.0026833068304343843,-0.020364583928840774,0.012904340676715087,0.0003498331934641552
2024-06-27,0.003985989997206119,0.0023722936562777797,-0.021717192437770705,-0.006947134766142726,0.008813343868424584,-0.0021859046758668788,0.0015260026114798375,0.013858746526956844,-0.006003895538386206,0.004282765186715443
2024-06-28,-0.016254183722711812,0.0006399389979399039,0.014261464101668508,0.002468965688355196,0.015514262822587499,-0.0040682331830188545,-0.013028606052093439,0.006474613433618881,-0.0025044342558241395,0.0019147464191213714
2024-07-01,0.029104509732036155,0.0006393172342691322,0.025070662181600367,0.0019157244759933079,0.01577198618068487,-0.005813064906549759,0.02188153714138319,0.008577750167910514,-0.003396643371156194,-0.0013897915079195133
